# Archived bindings. Tab-separated: id<TAB>path<TAB>role<TAB>note
#
# id	path	role	note
E-TOY	data/e-toy/local_baseline.json	derived_table	the toy run's own record for both learned arms and for the degraded input they were scored against
E-WITHDRAWN	data/e-withdrawn/paper_measurement_toy_matched_budget.json	recorded_state	the project's withdrawal of its own toy comparison, with the reasons it listed and the statement it kept
E-STATIC	data/e-static/static.json	recorded_state	the do-nothing tier, recording the degraded input as a scored arm in its own right
E-NAIVE	data/e-naive/naive.json	recorded_state	the convolutional toy arm as the comparison ladder records it
E-SIMPLE	data/e-simple/simple.json	recorded_state	the transformer toy arm as the comparison ladder records it, with the sentence the withdrawal later contradicted
E-LONGER	data/e-longer/unet_result_500step.json	derived_table	the same convolutional arm at ten times the budget, written outside the results tree and never promoted
E-DIT	data/e-dit/sota_dit4sr_metrics_today_dit.json	derived_table	per-crop fidelity for the published method on the subset, with its bootstrap interval
E-BICUBIC	data/e-bicubic/sota_dit4sr_metrics_today_bicubic.json	derived_table	per-crop fidelity for bicubic upsampling on the same crops, from the same metric pass
E-NEAREST	data/e-nearest/sota_dit4sr_metrics_today_nearest.json	derived_table	per-crop fidelity for nearest-neighbour upsampling on the same crops
E-BICUBIC-AUDIT	data/e-bicubic-audit/metrics.json	derived_table	an independently written record of the bicubic arm, used to check the two agree crop for crop
E-DIT-EARLIER	data/e-dit-earlier/sota_dit4sr_metrics.json	derived_table	an earlier pixel set from the same method on the same crops, used to bound run-to-run variation
E-SUMMARY	data/e-summary/sota_dit4sr_metrics_today.json	derived_table	the three-arm summary and the paired differences the metric pass computed
E-STRATA	data/e-strata/sota_dit4sr_metrics_today_reviewer.json	derived_table	win and loss counts overall and by camera, with bootstrap intervals on the paired difference
E-EVAL	data/e-eval/sota_dit4sr_eval.json	recorded_state	the completed subset inference run, its scope note, and the state of the reference images it needed
E-EVAL-EARLIER	data/e-eval-earlier/sota_dit4sr_eval_20260816T062908Z.json	recorded_state	the earlier attempt on the full input set, retained under history, that ran thirteen of two hundred and six
E-SKIP	data/e-skip/complement_dit4sr_skip_census.json	derived_table	the census of what that attempt skipped and the memory budget that decided it
E-SIZES	data/e-sizes/complement_dit4sr_lq_size_histogram.json	derived_table	the input sizes behind those skips, and the camera the skipped inputs came from
E-ORPHANS	data/e-orphans/complement_dit4sr_13stem_identity.json	derived_table	the thirteen outputs that attempt did produce, each recorded without a reference image
E-PRIMARY	data/e-primary/paper_primary.json	recorded_state	the reference-comparison tier, recorded as blocked with the subset explicitly not promoting it
E-SOTA	data/e-sota/sota_copy.json	recorded_state	the full-replication tier, recorded as blocked for the same reason
E-PERCEPTUAL-PREDECL	data/e-perceptual-predecl/PREDECLARATION.json	recorded_state	the frozen predeclaration for the perceptual pass: endpoints, pairing, sign test, fidelity anchor rule and the three outcome cases, written before any score was computed
E-PERCEPTUAL-AMEND	data/e-perceptual-amend/PREDECLARATION_AMENDMENT_1.json	recorded_state	the amendment made after a serialisation crash and before any formal endpoint file was written: script hash replaced, the secondary VGG endpoint recorded as not computed, and the disclosure that the primary result had been seen on a provisional run
E-PERCEPTUAL	data/e-perceptual/perceptual_summary.json	derived_table	the formal perceptual summary: fidelity anchor against the bound record, learned perceptual distance for both arms, wins and losses, sign test, quadrant counts and the cross-check against the provisional run
E-PERCEPTUAL-RAW	data/e-perceptual-raw/per_crop.jsonl	derived_table	one row per crop with the local and bound fidelity, the bicubic fidelity and the learned perceptual distance for both arms
E-PERCEPTUAL-RECEIPT	data/e-perceptual-receipt/RECEIPT.json	recorded_state	the run receipt for the formal perceptual pass: host, environment, weights actually loaded, wall clock, output digests and the statement that nothing was downloaded
E-PERCEPTUAL-PROVENANCE	data/e-perceptual-provenance/PROVENANCE.json	recorded_state	where the four hundred input images came from, including the sampling seed and settings of the fresh local sample of the released model
E-PERCEPTUAL-VGG	data/e-perceptual-vgg/perceptual_summary.json	derived_table	the later VGG secondary summary: Alex primary reproduced, VGG16 scored as a backbone-sensitivity check, never used to rewrite the thesis
E-PERCEPTUAL-VGG-RAW	data/e-perceptual-vgg-raw/per_crop.jsonl	derived_table	one row per crop from the later dated VGG run, with non-null VGG distances; does not replace the formal Alex per-crop file
E-PERCEPTUAL-VGG-RECEIPT	data/e-perceptual-vgg-receipt/RECEIPT.json	recorded_state	the run receipt for the later VGG scoring pass: host, environment, wall clock, output digests and secondary status COMPUTED
E-PERCEPTUAL-VGG-FETCH	data/e-perceptual-vgg-fetch/FETCH_RECEIPT.json	recorded_state	the fetch record for the complete torchvision VGG16 checkpoint used by the later dated run
E-PERCEPTUAL-VGG-WEIGHTS	data/e-perceptual-vgg-weights/WEIGHTS_LOADED_VGG.json	recorded_state	the weights actually loaded for the later VGG pass, correcting the receipt copy of the truncated predeclaration hash
E-PERCEPTUAL-VGG-REPORT	data/e-perceptual-vgg-report/2026-09-09-writein3-005-lpips-vgg-result.md	narrative_record	the write-in report for the VGG secondary: GO, formal Alex hashes left untouched, VGG not promoted
E-INIT-PREDECL	data/e-init-predecl/PREDECLARATION.json	recorded_state	the frozen predeclaration for the initialisation ablation: nine cells, the stall threshold, the mode-level majority and the four reading rules in evaluation order
E-INIT	data/e-init/init_summary.json	derived_table	the nine-cell result: per-cell early and late training loss, restored fidelity, initialisation probe, mode verdicts and the rule that fired
E-INIT-ANALYSIS	data/e-init-analysis/analysis.json	derived_table	the independent analyser's reading of the same run: completeness gates, ordering by restored fidelity and its own decision, which never promotes a toy result
E-INIT-RECEIPT	data/e-init-receipt/RECEIPT.json	recorded_state	the run receipt for the ablation: frozen source digests re-hashed after the run, the commit drift during the run, environment and wall clock
